,Period,RegionCode,Region,GeographicClassification,CensusLevel,IndustryCode,Industry,BusinessLocations,Subsidy,SupportedEmployees,RehiredEmployees
493103,2020-08-30,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,35245.0,469622000.0,455154.0,2605.0
502262,2020-08-30,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,290.0,3967000.0,3317.0,20.0
502651,2020-08-30,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,230.0,6514000.0,4102.0,10.0
502997,2020-08-30,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,105.0,2105000.0,1962.0,0.0
503643,2020-09-27,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,2735.0,27912000.0,34028.0,155.0
505999,2020-09-27,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,885.0,8521000.0,11145.0,45.0
507102,2020-09-27,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,4670.0,45410000.0,61689.0,275.0
509465,2020-09-27,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,3660.0,38439000.0,51124.0,175.0
512618,2020-09-27,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,43955.0,565484000.0,715371.0,2275.0
528538,2020-09-27,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,77765.0,1025392000.0,1256715.0,5235.0
541919,2020-09-27,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,5310.0,56591000.0,83434.0,280.0
543959,2020-09-27,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,5345.0,52257000.0,66777.0,300.0
547271,2020-09-27,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,27890.0,471067000.0,469448.0,1715.0
552950,2020-09-27,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,29615.0,319700000.0,397529.0,2150.0
561348,2020-09-27,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,220.0,2007000.0,2322.0,5.0
561697,2020-09-27,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,195.0,4782000.0,3522.0,10.0
562011,2020-09-27,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,65.0,1311000.0,1369.0,0.0
